Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,imagenPortadaEjercicio,Musculos,Ejercicio ID,Link Webhook,Reps_Unicas,Carga unica
Flexiones Archer,Tzalam,N/A,"Adopta una posición amplia de flexión. Baja cargando más peso hacia un brazo mientras el otro se extiende, luego empuja y alterna lados.","Mantén
  el cuerpo rígido y busca que el pecho se acerque a la mano que trabaja.",4 series de 5-8 reps por lado,,"Pectorales, Tríceps, Deltoides",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones Archer&prevReps=&prevKgs=,,
Dominadas Supinas,Tzalam,Barra de dominadas,Cuelga de la barra con palmas hacia ti. Tira hasta llevar la barbilla por encima de la barra y baja con control.,"Piensa en llevar el pecho hacia
  la barra para activar mejor la espalda.",4 series de 6-10 reps,,"Bíceps, Dorsales, Romboides",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Dominadas Supinas&prevReps=&prevKgs=,,
Pike Push-ups (pies elevados),Tzalam,"Barras
  Paralelas bajas + silla",Coloca manos en paralelas y pies elevados en una silla. Forma una V invertida y baja la cabeza entre las manos antes de empujar arriba.,"Mantén
  la cadera alta para cargar más sobre los hombros.",4 series de 5-8 reps,,"Deltoides, Tríceps, Trapecio superior",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Pike Push-ups (pies elevados)&prevReps=&prevKgs=,,
Dominadas Mixtas,Tzalam,Barra de dominadas,Realiza dominadas usando una mano en agarre prono y la otra en supino. Completa las repeticiones y luego cambia la posición de las manos.,"Evita rotar demasiado el torso y
  reparte la carga entre ambos brazos.",4 series de 5-8 reps,,"Dorsales, Bíceps,
  Antebrazo, Core",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Dominadas Mixtas&prevReps=&prevKgs=,,
Flexiones en Paralelas (profundas),Tzalam,"Barras
  Paralelas bajas","En posición de plancha sobre paralelas, baja el pecho por debajo del nivel de
las barras para aprovechar el rango extra y luego sube con fuerza.","Controla
  especialmente la parte baja y no colapses hombros.",4 series de 8-12 reps,,"Pectorales, Tríceps, Deltoides",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones en Paralelas (profundas)&prevReps=&prevKgs=,,
Pseudo Planche Push-ups,Tzalam,N/A,Coloca las manos cerca de la cadera con los hombros adelantados respecto a las muñecas. Baja en flexión manteniendo esa inclinación y sube con control.,"Mientras más te inclines hacia
  delante, más demandante será para hombros y pecho.",4 series de 5-8 reps,,"Hombros, Pecho, Tríceps,
  Core",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Pseudo Planche Push-ups&prevReps=&prevKgs=,,
Remo Australiano con Pies Elevados,Tzalam,"Barra
  baja + silla",Haz un remo australiano con los pies elevados sobre una silla para dejar el cuerpo más horizontal. Tira el pecho a la barra y baja con control.,"Mantén
  glúteos y abdomen apretados para no perder la línea corporal.",4 series de 8-10 reps,,"Dorsales, Bíceps, Romboides",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo Australiano con Pies Elevados&prevReps=&prevKgs=,,
Hollow Body Hold,Tzalam,N/A,"Acuéstate boca arriba, despega hombros y piernas del suelo y mantén la zona lumbar pegada al piso con el cuerpo en forma de banana.","Si se despega la espalda baja,
  flexiona un poco rodillas o sube más los brazos.",4 series de 20-30 seg,,"Core (abdomen completo),
  Flexores de cadera",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Hollow Body Hold&prevReps=&prevKgs=,,
Dominadas Australianas con Pies Elevados,Tzalam,"Barra
  baja + silla",Coloca los talones sobre una silla y cuélgate de una barra baja con el cuerpo recto. Tira del pecho a la barra y baja controlado.,"Entre
  más horizontal quede tu cuerpo, mayor dificultad.",4 series de 8-12 reps,,"Espalda (Dorsales), Bíceps, Romboides",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Dominadas Australianas con Pies Elevados&prevReps=&prevKgs=,,
,,,,,,,,,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=&prevReps=&prevKgs=,,
,,,,,,,,,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=&prevReps=&prevKgs=,,
,,,,,,,,,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=&prevReps=&prevKgs=,,
